Mar-26,Period,Location ID,Reason,Period,Product ID,Location ID,Ship-From Loc ID,Resource ID
"Independent demand can't be fully satisfied (Requested amount: 104.000000, Fulfilled amount: 81.722680, Explained amount: 22.277320)",03/25/2024,CUST004,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 1455.312809.,03/25/2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 104.000000, Fulfilled amount: 81.722680, Explained amount: 22.277320)",03/25/2024,CUST004,The maximum aggregated transportation capacity usage of 34.991990 is too low; increase it by at least 88.200000.,03/25/2024,PPC5,CUST004,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 104.000000, Fulfilled amount: 56.276080, Explained amount: 47.723920)",03/25/2024,CUST015,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 1455.312809.,03/25/2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 104.000000, Fulfilled amount: 56.276080, Explained amount: 47.723920)",03/25/2024,CUST015,The maximum aggregated transportation capacity usage of 45.771426 is too low; increase it by at least 88.200000.,03/25/2024,PPC5,CUST015,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 104.000000, Fulfilled amount: 45.771426, Explained amount: 58.228574)",03/25/2024,CUST012,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 1455.312809.,03/25/2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 104.000000, Fulfilled amount: 45.771426, Explained amount: 58.228574)",03/25/2024,CUST012,The maximum aggregated transportation capacity usage of 45.771426 is too low; increase it by at least 88.200000.,03/25/2024,PPC5,CUST012,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 308.023950.,04/29/2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 209.769999 is too low; increase it by at least 229.830001.,04/29/2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 306.055541.,04/30/2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 151.656877 is too low; increase it by at least 287.943123.,04/30/2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 306.316375.,05-01-2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 231.588527 is too low; increase it by at least 208.011473.,05-01-2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 256.369875.,05-02-2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 177.209999 is too low; increase it by at least 262.390001.,05-02-2024,PPC5,CUST022,LOC017,ROAD013
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 9000.000000 is too low; increase it by at least 306.316375.,05-03-2024,PPC1,LOC018,LOC001,ROAD001
"Independent demand can't be fully satisfied (Requested amount: 102.000000, Fulfilled amount: 49.378777, Explained amount: 52.621223)",05/21/2024,CUST022,The maximum aggregated transportation capacity usage of 233.882027 is too low; increase it by at least 205.717973.,05-03-2024,PPC5,CUST022,LOC017,ROAD013
